ApplNo,ApplType,SponsorApplicant,MostRecentLabelAvailableFlag,CurrentPatentFlag,ActionType,Chemical_Type,Ther_Potential,Orphan_Code
6823,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,,,
6882,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,,,
6904,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,1,P,
6905,N    ,ABBVIE                                            ,FALSE,FALSE,AP,3,S,
6917,N    ,ROCHE                                             ,FALSE,FALSE,AP,,,
6920,N    ,LEDERLE                                           ,FALSE,FALSE,AP,5,S,
6921,N    ,SCHERING                                          ,FALSE,FALSE,AP,,,
6927,N    ,RANBAXY                                           ,FALSE,FALSE,AP,,,
6931,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,,,
7012,N    ,BAYER HLTHCARE                                    ,FALSE,FALSE,AP,,,
7073,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,1,P,
7085,N    ,WARNER CHILCOTT                                   ,FALSE,FALSE,AP,,,
7110,N    ,MERCK                                             ,FALSE,FALSE,AP,1,P,
7245,N    ,LILLY                                             ,FALSE,FALSE,AP,4,S,
7320,N    ,CONSOLIDATED MIDLAND                              ,FALSE,FALSE,AP,5,S,
7335,N    ,APOTHECON                                         ,FALSE,FALSE,AP,1,P,
7336,N    ,3M                                                ,FALSE,FALSE,AP,2,P,
7337,N    ,ENDO PHARMS                                       ,FALSE,FALSE,AP,4,S,
7390,N    ,SHIRE                                             ,FALSE,FALSE,AP,1,S,
7392,N    ,LILLY                                             ,FALSE,FALSE,AP,2,S,
7409,N    ,FOREST LABS INC                                   ,FALSE,FALSE,AP,1,S,
7413,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
7504,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,P,
7513,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,1,P,
7517,N    ,KING PHARMS                                       ,FALSE,FALSE,AP,1,P,
7529,N    ,LILLY                                             ,FALSE,FALSE,AP,2,P,
7600,N    ,PARKEDALE                                         ,FALSE,FALSE,AP,1,S,
7638,N    ,BAYER HEALTHCARE LLC                              ,FALSE,FALSE,AP,3,S,
7707,N    ,ABBVIE                                            ,FALSE,FALSE,AP,1,P,
7750,N    ,MERCK                                             ,FALSE,FALSE,AP,3,S,
7757,N    ,ROCHE                                             ,FALSE,FALSE,AP,5,S,
7794,N    ,TEVA                                              ,FALSE,FALSE,AP,1,S,
7842,N    ,DAVIS AND GECK                                    ,FALSE,FALSE,AP,1,P,
7865,N    ,LILLY                                             ,FALSE,FALSE,AP,3,S,
7883,N    ,TEVA WOMENS                                       ,FALSE,FALSE,AP,1,P,
7898,N    ,MERCK                                             ,FALSE,FALSE,AP,1,P,
7935,N    ,DELCOR ASSET CORP                                 ,FALSE,FALSE,AP,3,S,
7936,N    ,CHATTEM                                           ,FALSE,FALSE,AP,3,S,
7942,N    ,FOREST LABS                                       ,FALSE,FALSE,AP,5,S,
7953,N    ,ALLERGAN                                          ,FALSE,FALSE,AP,4,S,
7959,N    ,TELIGENT PHARMA INC                               ,FALSE,FALSE,AP,1,P,
7961,N    ,APTALIS PHARMA US                                 ,FALSE,FALSE,AP,3,S,
7984,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,1,S,
8032,N    ,GE HEALTHCARE                                     ,FALSE,FALSE,AP,1,P,
8041,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,1,P,
8048,N    ,ASTRAZENECA                                       ,FALSE,FALSE,AP,2,S,
8085,N    ,DAVA PHARMS INC                                   ,FALSE,FALSE,AP,1,P,
8102,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,S,
8107,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,1,P,V
8114,N    ,SCHERING                                          ,FALSE,FALSE,AP,1,S,
8126,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
8173,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,1,P,
8228,N    ,MERCK                                             ,FALSE,FALSE,AP,2,S,
8248,N    ,BAXTER HLTHCARE CORP                              ,FALSE,FALSE,AP,3,S,
8278,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,P,
8284,N    ,PANRAY                                            ,FALSE,FALSE,AP,5,S,
8303,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,P,
8306,N    ,ANI PHARMS                                        ,FALSE,FALSE,AP,4,S,
8316,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,5,S,
8317,N    ,PARKEDALE                                         ,FALSE,FALSE,AP,5,S,
8319,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,14,S,
8322,N    ,ABBVIE                                            ,FALSE,FALSE,AP,1,S,
8370,N    ,FOREST LABS INC                                   ,FALSE,FALSE,AP,3,S,
8372,N    ,MALLINCKRODT ARD                                  ,FALSE,FALSE,AP,5,S,
8378,N    ,INTL MINERALS                                     ,FALSE,FALSE,AP,,,
8381,N    ,ANI PHARMS                                        ,FALSE,FALSE,AP,2,S,
8392,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,5,S,
8402,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,,,
8414,N    ,ROCHE                                             ,FALSE,FALSE,AP,2,S,
8420,N    ,ROCHE                                             ,FALSE,FALSE,AP,5,S,
8428,N    ,PANRAY                                            ,FALSE,FALSE,AP,5,S,
8453,N    ,SANDOZ                                            ,FALSE,FALSE,AP,1,P,
8472,N    ,MERCK                                             ,FALSE,FALSE,AP,3,S,
8492,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,S,
8499,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
8506,N    ,MERCK                                             ,FALSE,FALSE,AP,24,P,
8565,N    ,WYETH AYERST                                      ,FALSE,FALSE,AP,1,S,
8578,N    ,TURING PHARMS AG                                  ,FALSE,FALSE,AP,1,P,
8592,N    ,EASTMAN KODAK                                     ,FALSE,FALSE,AP,14,S,
8604,N    ,ANI PHARMS                                        ,FALSE,FALSE,AP,4,S,
8662,N    ,SANDOZ                                            ,FALSE,FALSE,AP,3,S,
8678,N    ,SANDOZ                                            ,FALSE,FALSE,AP,5,S,
8682,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,P,
8693,N    ,PROCTER AND GAMBLE                                ,FALSE,FALSE,AP,1,P,
8697,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
8708,N    ,CONCORDIA PHARMS INC                              ,FALSE,FALSE,AP,1,P,
8719,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,3,P,
8720,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,3,P,
8732,N    ,SHIRE                                             ,FALSE,FALSE,AP,1,S,
8762,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,2,S,
8767,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,5,S,
8794,N    ,SCHERING PLOUGH                                   ,FALSE,FALSE,AP,5,S,
8809,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,4,S,
8814,N    ,MEDPOINTE PHARM HLC                               ,FALSE,FALSE,AP,1,S,
8816,N    ,OAK PHARMS                                        ,FALSE,FALSE,AP,3,S,
8822,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,2,S,
8826,N    ,SCHERING PLOUGH                                   ,FALSE,FALSE,AP,5,S,
8842,N    ,APOTHECON                                         ,FALSE,FALSE,AP,1,S,
8843,N    ,GD SEARLE LLC                                     ,FALSE,FALSE,AP,3,S,
8845,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,5,S,
8847,N    ,APOTHECON                                         ,FALSE,FALSE,AP,5,S,
8848,N    ,FOUGERA PHARMS                                    ,FALSE,FALSE,AP,1,S,
8855,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,1,P,
8857,N    ,WYETH AYERST                                      ,FALSE,FALSE,AP,3,S,
8867,N    ,3M                                                ,FALSE,FALSE,AP,2,S,
8869,N    ,LILLY                                             ,FALSE,FALSE,AP,14,S,
8883,N    ,APOTHECON                                         ,FALSE,FALSE,AP,1,S,
8915,N    ,ORTHO MCNEIL PHARM                                ,FALSE,FALSE,AP,1,S,
8917,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
8922,N    ,MEDICIS                                           ,FALSE,FALSE,AP,1,P,
8943,N    ,TEVA BRANDED PHARM                                ,FALSE,FALSE,AP,1,P,
8951,N    ,LILLY                                             ,FALSE,FALSE,AP,1,S,
8955,N    ,MCNEIL                                            ,FALSE,FALSE,AP,1,S,
8975,N    ,ANI PHARMS                                        ,FALSE,FALSE,AP,5,S,
8983,N    ,ROCHE                                             ,FALSE,FALSE,AP,1,P,
9000,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,4,P,
9008,N    ,ORTHO MCNEIL PHARM                                ,FALSE,FALSE,AP,4,S,
9018,N    ,MERCK                                             ,FALSE,FALSE,AP,3,S,
9048,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,1,P,
9052,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,3,S,
9053,N    ,STASON PHARMS                                     ,FALSE,FALSE,AP,1,P,
9078,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,1,S,
9087,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,S,
9088,N    ,TEVA                                              ,FALSE,FALSE,AP,3,S,
9102,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,2,P,
9108,N    ,PAL PAK                                           ,FALSE,FALSE,AP,5,S,
9112,N    ,RANBAXY                                           ,FALSE,FALSE,AP,3,S,
9115,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,2,P,
9127,N    ,PFIZER                                            ,FALSE,FALSE,AP,5,S,
9149,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,1,P,
9164,N    ,PFIZER                                            ,FALSE,FALSE,AP,5,S,
9165,N    ,ENDO PHARMS                                       ,FALSE,FALSE,AP,2,P,
9166,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,3,S,
9170,N    ,VALEANT                                           ,FALSE,FALSE,AP,1,P,
9175,N    ,SHIONOGI INC                                      ,FALSE,FALSE,AP,3,S,
9176,N    ,PFIZER GLOBAL                                     ,FALSE,FALSE,AP,3,S,
9182,N    ,ROCHE                                             ,FALSE,FALSE,AP,2,S,
9190,N    ,GUERBET                                           ,FALSE,FALSE,AP,1,P,
9193,N    ,MERCK                                             ,FALSE,FALSE,AP,1,P,
9215,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,5,S,
9217,N    ,MEDPOINTE PHARM HLC                               ,FALSE,FALSE,AP,2,S,
9218,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,1,S,
9238,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
9255,N    ,FOREST PHARMS                                     ,FALSE,FALSE,AP,5,S,
9268,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,1,S,
9273,N    ,IMPAX LABS                                        ,FALSE,FALSE,AP,5,S,
9276,N    ,BOWMAN PHARMS                                     ,FALSE,FALSE,AP,5,S,
9278,N    ,PANRAY                                            ,FALSE,FALSE,AP,,,
9282,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,S,
9296,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,4,S,
9309,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,1,P,
9319,N    ,FOREST LABS                                       ,FALSE,FALSE,AP,4,S,
9321,N    ,BRACCO                                            ,FALSE,FALSE,AP,5,S,
9330,N    ,COVIS INJECTABLES                                 ,FALSE,FALSE,AP,,,
9344,N    ,LILLY                                             ,FALSE,FALSE,AP,1,P,
9357,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,5,S,
9372,N    ,WYETH AYERST                                      ,FALSE,FALSE,AP,1,P,
9376,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
9378,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
9386,N    ,ASPEN GLOBAL                                      ,FALSE,FALSE,AP,1,P,
9388,N    ,TEVA WOMENS                                       ,FALSE,FALSE,AP,3,S,
9391,N    ,PANRAY                                            ,FALSE,FALSE,AP,5,S,
9395,N    ,GLENWOOD                                          ,FALSE,FALSE,AP,2,S,
9402,N    ,PAR STERILE PRODUCTS                              ,FALSE,FALSE,AP,,,
9410,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,S,
9434,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,3,S,
9435,N    ,FRESENIUS KABI USA                                ,FALSE,FALSE,AP,1,P,
9436,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,2,S,
9452,N    ,BLULINE                                           ,FALSE,FALSE,AP,5,S,
9453,N    ,VALE                                              ,FALSE,FALSE,AP,5,S,
9458,N    ,IMPAX LABS                                        ,FALSE,FALSE,AP,5,S,
9470,N    ,FRESENIUS KABI USA                                ,FALSE,FALSE,AP,3,P,
9477,N    ,BUNDY                                             ,FALSE,FALSE,AP,5,S,
9486,N    ,MCNEIL CONS                                       ,FALSE,FALSE,AP,3,S,
9489,N    ,LEDERLE                                           ,FALSE,FALSE,AP,1,S,
9495,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,2,S,
9509,N    ,MERCK                                             ,FALSE,FALSE,AP,3,P,
9519,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,P,
9561,N    ,GE HEALTHCARE                                     ,FALSE,FALSE,AP,1,P,
9585,N    ,BAYER PHARMS                                      ,FALSE,FALSE,AP,5,S,
9627,N    ,IMPAX LABS                                        ,FALSE,FALSE,AP,5,S,
9631,N    ,BOWMAN PHARMS                                     ,FALSE,FALSE,AP,5,S,
9637,N    ,AKORN                                             ,FALSE,FALSE,AP,5,S,
9645,N    ,VITARINE                                          ,FALSE,FALSE,AP,5,S,
9659,N    ,PANRAY                                            ,FALSE,FALSE,AP,5,S,
9660,N    ,ROCHE                                             ,FALSE,FALSE,AP,1,S,
9663,N    ,BUNDY                                             ,FALSE,FALSE,AP,5,S,
9667,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,5,S,
9668,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,5,S,
9698,N    ,MEDPOINTE PHARM HLC                               ,FALSE,FALSE,AP,5,S,
9729,N    ,LEDERLE                                           ,FALSE,FALSE,AP,,,
9750,N    ,DISTA                                             ,FALSE,FALSE,AP,1,S,
9766,N    ,SCHERING                                          ,FALSE,FALSE,AP,1,P,
9768,N    ,CONCORDIA PHARMS INC                              ,FALSE,FALSE,AP,1,S,
9789,N    ,MEDPOINTE PHARM HLC                               ,FALSE,FALSE,AP,1,S,
9796,N    ,PFIPHARMECS                                       ,FALSE,FALSE,AP,5,S,
9818,N    ,MONARCH PHARMS                                    ,FALSE,FALSE,AP,1,S,
9829,N    ,VALEANT PHARMS LLC                                ,FALSE,FALSE,AP,1,S,
9830,N    ,VALEANT PHARM INTL                                ,FALSE,FALSE,AP,3,S,
9838,N    ,SANDOZ                                            ,FALSE,FALSE,AP,,,
9854,N    ,ANI PHARMS                                        ,FALSE,FALSE,AP,2,P,
9859,N    ,CYCLE PHARMS LTD                                  ,FALSE,FALSE,AP,5,S,
9864,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
9866,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,2,S,
9895,N    ,BAYER PHARMS                                      ,FALSE,FALSE,AP,5,S,
9900,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,3,S,
9925,N    ,ASTRAZENECA                                       ,FALSE,FALSE,AP,1,S,
9926,N    ,FERNDALE LABS                                     ,FALSE,FALSE,AP,5,S,
9986,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,5,S,
9987,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,1,S,
9996,N    ,PFIZER                                            ,FALSE,FALSE,AP,5,S,
10010,N    ,BAYER PHARMS                                      ,FALSE,FALSE,AP,2,S,
10012,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
10021,N    ,ABBVIE                                            ,FALSE,FALSE,AP,5,S,
10028,N    ,WYETH AYERST                                      ,FALSE,FALSE,AP,1,P,
10040,N    ,BRACCO                                            ,FALSE,FALSE,AP,24,S,
10060,N    ,CASPER PHARMA LLC                                 ,FALSE,FALSE,AP,3,S,
10093,N    ,UCB INC                                           ,FALSE,FALSE,AP,2,S,
10104,N    ,VALEANT PHARMS                                    ,FALSE,FALSE,AP,3,P,
10124,N    ,LANNETT                                           ,FALSE,FALSE,AP,5,S,
10151,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,3,S,
10155,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,S,
10187,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,3,S,
10209,N    ,SCHERING                                          ,FALSE,FALSE,AP,3,S,
10210,N    ,SCHERING                                          ,FALSE,FALSE,AP,4,S,
10220,N    ,GE HEALTHCARE                                     ,FALSE,FALSE,AP,5,S,
10251,N    ,TARGACEPT                                         ,FALSE,FALSE,AP,1,P,
10255,N    ,SCHERING                                          ,FALSE,FALSE,AP,3,S,
10347,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,1,S,
10348,N    ,WYETH AYERST                                      ,FALSE,FALSE,AP,3,S,
10349,N    ,BAXTER HLTHCARE CORP                              ,FALSE,FALSE,AP,1,S,
10355,N    ,ROCHE                                             ,FALSE,FALSE,AP,1,S,
10374,N    ,3M                                                ,FALSE,FALSE,AP,,,
10375,N    ,3M                                                ,FALSE,FALSE,AP,2,S,
10379,N    ,KING PHARMS R AND D                               ,FALSE,FALSE,AP,1,P,
10392,N    ,PFIZER                                            ,FALSE,FALSE,AP,1,S,
10401,N    ,NURO PHARMA                                       ,FALSE,FALSE,AP,3,S,
10402,N    ,WYETH PHARMS INC                                  ,FALSE,FALSE,AP,3,S,
10417,N    ,FRESENIUS KABI USA                                ,FALSE,FALSE,AP,3,P,
10418,N    ,ASTRAZENECA                                       ,FALSE,FALSE,AP,5,S,
10423,N    ,ROCHE                                             ,FALSE,FALSE,AP,1,S,
10441,N    ,EVERYLIFE                                         ,FALSE,FALSE,AP,5,S,
10460,N    ,BOEHRINGER INGELHEIM                              ,FALSE,FALSE,AP,1,P,
10485,N    ,ROERIG                                            ,FALSE,FALSE,AP,3,S,
10496,N    ,ASTRAZENECA                                       ,FALSE,FALSE,AP,4,S,
10515,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,3,P,
10520,N    ,MERCK                                             ,FALSE,FALSE,AP,2,S,
10533,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,5,S,
10554,N    ,PFIZER                                            ,FALSE,FALSE,AP,1,S,
10562,N    ,MERCK                                             ,FALSE,FALSE,AP,2,S,
10571,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,1,P,
10581,N    ,PHYS PRODS VA                                     ,FALSE,FALSE,AP,5,S,
10585,N    ,MERCK                                             ,FALSE,FALSE,AP,1,S,
10596,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,1,P,
10598,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,4,S,
10599,N    ,ABBVIE                                            ,FALSE,FALSE,AP,1,S,
10611,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,1,P,
10653,N    ,3M                                                ,FALSE,FALSE,AP,1,S,
10656,N    ,MERCK                                             ,FALSE,FALSE,AP,3,S,
10669,N    ,ASPEN GLOBAL INC                                  ,FALSE,FALSE,AP,1,P,
10670,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,1,P,
10679,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,S,
10686,N    ,PFIZER                                            ,FALSE,FALSE,AP,5,S,
10718,N    ,REED AND CARNRICK                                 ,FALSE,FALSE,AP,3,P,
10721,N    ,CASPER PHARMA LLC                                 ,FALSE,FALSE,AP,,S,
10742,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,2,S,
10744,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,3,S,
10753,N    ,WYETH AYERST                                      ,FALSE,FALSE,AP,1,S,
