ApplNo,ProductNo,Form,Dosage,ProductMktStatus,TECode,ReferenceDrug,drugname,activeingred
4039,4,"TABLET, DELAYED RELEASE;ORAL",1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,5,"TABLET, DELAYED RELEASE;ORAL",0.25MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,6,"TABLET, DELAYED RELEASE;ORAL",5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4040,1,SUPPOSITORY;VAGINAL,0.1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4040,2,SUPPOSITORY;VAGINAL,0.5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,2,TABLET;ORAL,0.1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,3,TABLET;ORAL,0.5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,4,TABLET;ORAL,1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,5,TABLET;ORAL,5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4054,1,TABLET;ORAL,500MG,3,,0,SULFADIAZINE,SULFADIAZINE
4054,2,INJECTABLE;INJECTION,250MG/ML,3,,0,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM
4056,1,SUPPOSITORY;VAGINAL,0.1MG,3,,0,STILBESTROL,DIETHYLSTILBESTROL
4056,2,SUPPOSITORY;VAGINAL,0.5MG,3,,0,STILBESTROL,DIETHYLSTILBESTROL
4056,3,INJECTABLE;INJECTION,0.2MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
4056,4,INJECTABLE;INJECTION,0.5MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
4056,5,INJECTABLE;INJECTION,1MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
4056,6,INJECTABLE;INJECTION,5MG/ML,3,,0,STILBESTROL,DIETHYLSTILBESTROL
4056,7,TABLET;ORAL,0.1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,8,TABLET;ORAL,0.5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,9,TABLET;ORAL,1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,10,TABLET;ORAL,5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,11,"TABLET, DELAYED RELEASE;ORAL",0.1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,12,"TABLET, DELAYED RELEASE;ORAL",0.5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,13,"TABLET, DELAYED RELEASE;ORAL",1MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,14,"TABLET, DELAYED RELEASE;ORAL",5MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4056,17,TABLET;ORAL,0.25MG,3,,0,STILBETIN,DIETHYLSTILBESTROL
4122,2,TABLET;ORAL,500MG,3,,0,SULFADIAZINE,SULFADIAZINE
4125,5,TABLET;ORAL,300MG,3,,0,SULFADIAZINE,SULFADIAZINE
4570,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
4570,2,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
4570,3,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
4589,4,INJECTABLE;INJECTION,5ML/100ML;5GM/100ML,3,,0,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
4589,6,INJECTABLE;INJECTION,10ML/100ML;5GM/100ML,3,,0,ALCOHOL 10% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
4782,1,TABLET;ORAL,1.25MG,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
4782,2,TABLET;ORAL,2.5MG,3,,0,PREMARIN,"ESTROGENS, CONJUGATED"
4782,3,TABLET;ORAL,0.3MG,1,,0,PREMARIN,"ESTROGENS, CONJUGATED"
4782,4,TABLET;ORAL,0.625MG,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
4782,5,TABLET;ORAL,0.9MG,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
4782,6,TABLET;ORAL,0.45MG,1,,0,PREMARIN,"ESTROGENS, CONJUGATED"
5010,1,TABLET;ORAL,50MG,1,AA,1,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,2,INJECTABLE;INJECTION,50MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,3,INJECTABLE;INJECTION,100MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,4,TABLET;ORAL,100MG,1,AA,1,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,5,SYRUP;ORAL,50MG/5ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,7,INJECTABLE;INJECTION,25MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
5010,9,INJECTABLE;INJECTION,75MG/ML,3,,0,DEMEROL,MEPERIDINE HYDROCHLORIDE
5151,1,PELLET;IMPLANTATION,125MG,3,,0,PERCORTEN,DESOXYCORTICOSTERONE ACETATE
5213,1,TABLET;ORAL,1.5MG;5MG,3,,0,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
5213,2,SYRUP;ORAL,1.5MG/5ML;5MG/5ML,3,,0,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
5264,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
5264,6,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
5264,7,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
5264,8,INJECTABLE;INJECTION,"20,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
5264,9,INJECTABLE;INJECTION,"40,000 UNITS/ML",3,,0,PANHEPRIN,HEPARIN SODIUM
5264,10,INJECTABLE;INJECTION,100 UNITS/ML,3,,0,HEPARIN LOCK FLUSH,HEPARIN SODIUM
5264,13,INJECTABLE;INJECTION,"2,000 UNITS/ML",3,,0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
5264,14,INJECTABLE;INJECTION,"2,500 UNITS/ML",3,,0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
5292,1,TABLET;ORAL,0.02MG,3,,0,ESTINYL,ETHINYL ESTRADIOL
5292,2,TABLET;ORAL,0.05MG,3,,0,ESTINYL,ETHINYL ESTRADIOL
5292,3,TABLET;ORAL,0.5MG,3,,0,ESTINYL,ETHINYL ESTRADIOL
5319,1,INJECTABLE;INJECTION,100%,3,,0,PANTOPAQUE,IOPHENDYLATE
5378,2,TABLET;ORAL,5MG,1,AA,1,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5378,3,"TABLET, EXTENDED RELEASE;ORAL",10MG,3,,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5378,4,"TABLET, EXTENDED RELEASE;ORAL",5MG,3,,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5378,5,"TABLET, EXTENDED RELEASE;ORAL",15MG,3,,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
5490,2,TABLET;ORAL,0.05MG,3,,0,LYNORAL,ETHINYL ESTRADIOL
5490,3,TABLET;ORAL,0.01MG,3,,0,LYNORAL,ETHINYL ESTRADIOL
5509,1,CAPSULE;ORAL,50MG,3,,0,DICUMAROL,DICUMAROL
5509,3,CAPSULE;ORAL,25MG,3,,0,DICUMAROL,DICUMAROL
5521,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
5521,2,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
5521,4,INJECTABLE;INJECTION,"20,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
5545,3,TABLET;ORAL,25MG,3,,0,DICUMAROL,DICUMAROL
5545,4,TABLET;ORAL,50MG,3,,0,DICUMAROL,DICUMAROL
5545,5,TABLET;ORAL,100MG,3,,0,DICUMAROL,DICUMAROL
5619,1,INJECTABLE;INJECTION,20%,3,,0,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM
5620,1,INJECTABLE;INJECTION,12.5GM/50ML,3,,0,MANNITOL 25%,MANNITOL
5657,1,INJECTABLE;INJECTION,3MG/ML,3,,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
5691,2,TABLET;ORAL,130CSR UNIT,3,,0,VERTAVIS,VERATRUM VIRIDE ROOT
5725,1,INJECTABLE;INJECTION,10MG/ML,3,,0,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE
5794,1,CREAM;VAGINAL,2.86%;3.42%;3.7%,3,,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
5794,2,TABLET;VAGINAL,143.75MG;172.5MG;184MG,3,,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
5795,1,OINTMENT;TOPICAL,0.20%,3,,0,FURACIN,NITROFURAZONE
5845,1,CAPSULE;ORAL,50MG,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
5845,4,ELIXIR;ORAL,12.5MG/5ML,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
5845,7,CAPSULE;ORAL,25MG,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
5856,2,SOLUTION;ORAL,200MG/5ML,3,,0,TRIDIONE,TRIMETHADIONE
5856,5,CAPSULE;ORAL,300MG,3,,0,TRIDIONE,TRIMETHADIONE
5856,9,TABLET;ORAL,150MG,1,,1,TRIDIONE,TRIMETHADIONE
5897,4,TABLET;ORAL,1MG,3,,0,FOLVITE,FOLIC ACID
5897,8,INJECTABLE;INJECTION,5MG/ML,3,,0,FOLVITE,FOLIC ACID
5914,2,TABLET;ORAL,50MG,3,,0,PBZ,TRIPELENNAMINE HYDROCHLORIDE
5914,4,ELIXIR;ORAL,EQ 25MG HCL/5ML,3,,0,PBZ,TRIPELENNAMINE CITRATE
5929,1,INJECTABLE;INJECTION,1MG/ML,1,AP,1,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE
5932,12,INJECTABLE;INJECTION,5%,3,,0,AMINOSOL 5%,PROTEIN HYDROLYSATE
5939,1,INJECTABLE;INJECTION,10%,1,,1,BAL,DIMERCAPROL
5963,1,SOLUTION/DROPS;OPHTHALMIC,10% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SODIUM SULAMYD,SULFACETAMIDE SODIUM
5963,2,OINTMENT;OPHTHALMIC,10% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SODIUM SULAMYD,SULFACETAMIDE SODIUM
5963,3,SOLUTION/DROPS;OPHTHALMIC,30% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SODIUM SULAMYD,SULFACETAMIDE SODIUM
5970,4,INJECTABLE;INJECTION,1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SOTRADECOL,SODIUM TETRADECYL SULFATE
5970,5,INJECTABLE;INJECTION,3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,SOTRADECOL,SODIUM TETRADECYL SULFATE
6002,1,TABLET;ORAL,EQ 300MG BASE,1,AA,1,ARALEN,CHLOROQUINE PHOSPHATE
6002,2,INJECTABLE;INJECTION,EQ 40MG BASE/ML,3,,0,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE
6008,1,TABLET;ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,MESANTOIN,MEPHENYTOIN
6012,3,CAPSULE;ORAL,182MG;0.33MG,3,,0,FOLVRON,FERROUS SULFATE; FOLIC ACID
6035,3,TABLET;ORAL,0.2MG,3,,0,METHERGINE,METHYLERGONOVINE MALEATE
6035,4,INJECTABLE;INJECTION,0.2MG/ML,1,AP,1,METHERGINE,METHYLERGONOVINE MALEATE
6044,3,"TABLET, DELAYED RELEASE;ORAL",165MG,3,,0,DIASONE SODIUM,SULFOXONE SODIUM
6071,3,INJECTABLE;INJECTION,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML",3,,0,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
6095,1,INJECTABLE;INJECTION,3MG/ML,3,,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
6110,5,CREAM;VAGINAL,0.01%,3,,0,DIENESTROL,DIENESTROL
6134,2,TABLET;ORAL,5MG,1,AA,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6134,4,SYRUP;ORAL,10MG/30ML,3,,0,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6134,10,TABLET;ORAL,10MG,1,AA,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6135,3,TABLET;ORAL,1MG,3,,0,FOLIC ACID,FOLIC ACID
6146,1,INJECTABLE;INJECTION,10MG/ML,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
6146,2,INJECTABLE;INJECTION,50MG/ML,3,,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
6170,3,INJECTABLE;INJECTION,5%,3,,0,HYPROTIGEN 5%,PROTEIN HYDROLYSATE
6188,1,TABLET;ORAL,50MG,1,BD,1,PROPYLTHIOURACIL,PROPYLTHIOURACIL
6203,1,INJECTABLE;INJECTION,2.5MG/ML,3,,0,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE
6213,1,TABLET;ORAL,50MG,3,,0,PROPYLTHIOURACIL,PROPYLTHIOURACIL
6270,3,SOAP;TOPICAL,2%,3,,0,GAMOPHEN,HEXACHLOROPHENE
6309,1,CREAM;TOPICAL,1%,3,,0,KWELL,LINDANE
6309,3,LOTION;TOPICAL,1%,3,,0,KWELL,LINDANE
6317,7,SUSPENSION;ORAL,250MG/5ML;250MG/5ML,3,,0,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE
6317,11,TABLET;ORAL,167MG,3,,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6317,12,SUSPENSION;ORAL,167MG/5ML,3,,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
6325,1,INJECTABLE;INJECTION,3MG/ML,3,,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
6327,2,SOLUTION;INHALATION,0.50%,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6327,3,SOLUTION;INHALATION,1%,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6328,1,"TABLET;RECTAL, SUBLINGUAL",10MG,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6328,2,"TABLET;RECTAL, SUBLINGUAL",15MG,3,,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
6333,8,ELIXIR;ORAL,EQ 165MG BASE/15ML,3,,0,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE
6343,2,INJECTABLE;INJECTION,150 UNITS/ML **Federal Register determination that product  was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,WYDASE,HYALURONIDASE
6343,5,INJECTABLE;INJECTION,"1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",3,,0,WYDASE,HYALURONIDASE
6343,6,INJECTABLE;INJECTION,150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,WYDASE,HYALURONIDASE
6383,2,POWDER;FOR RX COMPOUNDING,50GM/BOT,1,,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6383,3,POWDER;FOR RX COMPOUNDING,100GM/BOT,1,,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6383,4,POWDER;FOR RX COMPOUNDING,500GM/BOT,1,,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
6403,5,INJECTABLE;INJECTION,25MG/ML,3,,0,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE
6412,14,TABLET;ORAL,25MG,3,,0,DECAPRYN,DOXYLAMINE SUCCINATE
6412,15,TABLET;ORAL,12.5MG,3,,0,DECAPRYN,DOXYLAMINE SUCCINATE
6441,1,TABLET;ORAL,EQ 200MG BASE,3,,0,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE
6459,1,TABLET;ORAL,50MG,3,,0,HETRAZAN,DIETHYLCARBAMAZINE CITRATE
6460,2,INJECTABLE;INJECTION,10MG/ML,3,,0,PROTAMINE SULFATE,PROTAMINE SULFATE
6470,1,INJECTABLE;INJECTION,EQ 90MG CALCIUM/5ML,3,,0,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE
6488,2,INJECTABLE;INJECTION,2%,1,AP,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,3,INJECTABLE;INJECTION,0.01MG/ML;2%,3,,0,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,4,INJECTABLE;INJECTION,0.01MG/ML;1%,1,AP,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,5,INJECTABLE;INJECTION,0.02MG/ML;2%,1,AP,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,7,INJECTABLE;INJECTION,1%,1,AP,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,8,INJECTABLE;INJECTION,0.50%,1,AP,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,10,INJECTABLE;INJECTION,1.50%,1,AP,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
6488,12,INJECTABLE;INJECTION,0.005MG/ML;0.5%,1,AP,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,17,INJECTABLE;INJECTION,0.005MG/ML;1.5%,1,AP,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,18,INJECTABLE;INJECTION,0.005MG/ML;1%,1,AP,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6488,19,INJECTABLE;INJECTION,0.005MG/ML;2%,1,AP,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
6514,4,SYRUP;ORAL,12.5MG/5ML,3,,0,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE
6525,1,TABLET;ORAL,500MG,3,,0,GANTRISIN,SULFISOXAZOLE
6530,3,CREAM;VAGINAL,15%,1,,1,AVC,SULFANILAMIDE
6530,4,SUPPOSITORY;VAGINAL,1.05GM,3,,0,AVC,SULFANILAMIDE
6536,1,INJECTABLE;INJECTION,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,URECHOLINE,BETHANECHOL CHLORIDE
6536,2,TABLET;ORAL,10MG,3,,0,URECHOLINE,BETHANECHOL CHLORIDE
6536,3,TABLET;ORAL,5MG,3,,0,URECHOLINE,BETHANECHOL CHLORIDE
6536,4,TABLET;ORAL,25MG,3,,0,URECHOLINE,BETHANECHOL CHLORIDE
6536,5,TABLET;ORAL,50MG,3,,0,URECHOLINE,BETHANECHOL CHLORIDE
6580,1,INJECTABLE;INJECTION,900MG/100ML,3,,0,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE
6620,1,TABLET;ORAL,100MG;1MG,3,,0,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE
6632,3,INJECTABLE;INJECTION,2MG/ML,3,,0,METUBINE IODIDE,METOCURINE IODIDE
6668,10,INJECTABLE;INJECTION,1MG/ML,3,,0,REDISOL,CYANOCOBALAMIN
6695,1,INJECTABLE;INJECTION,10MG/VIAL,1,,1,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE
6772,1,INJECTABLE;INJECTION,20MG/ML,3,,0,VASOXYL,METHOXAMINE HYDROCHLORIDE
6772,2,INJECTABLE;INJECTION,10MG/ML,3,,0,VASOXYL,METHOXAMINE HYDROCHLORIDE
6773,3,TABLET;ORAL,5MG,3,,0,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6773,5,TABLET;ORAL,2MG,3,,0,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6773,9,ELIXIR;ORAL,2MG/5ML,3,,0,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6773,10,"CAPSULE, EXTENDED RELEASE;ORAL",5MG,3,,0,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
6798,1,INJECTABLE;INJECTION,1MG/ML,3,,0,BERUBIGEN,CYANOCOBALAMIN
